event_family,company_code,company_name,package_id,event_id,evidence_index,page,evidence_role,evidence_text,review_status
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,1,36,decision,2019年12月4日，公司召开2019年第二次临时股东大会，审议通过《关于公司增资扩股的议案》。,CONFIRMED
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,2,36,capital_change,"公司注册资本由8,150万元增加至8,498万元，新增注册资本348万元。",CONFIRMED
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,3,36,participant,新增注册资本由新股东三联合伙认购。,CONFIRMED
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,4,36,price,三联合伙以每股4.50元的价格认购。,CONFIRMED
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,5,38,registration,2019年12月17日，本次增资经市场监督管理部门核准并换发营业执照。,CONFIRMED
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,6,38,verification,"2020年1月9日，验资报告确认截至2019年12月30日已收到三联合伙货币出资1,566万元，其中348万元计入注册资本，1,218万元计入资本公积。",CONFIRMED
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,7,38,post_event_snapshot,"增资完成后公司总股本为8,498万股，三联合伙持有348万股、持股比例4.10%。",CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,1,59,agreement,2018年6月12日，发行人与相关投资方签署《增资与股权转让协议》，约定相关方对发行人增资。,CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,2,59,participant,国科瑞华、CASREV FUND、中科贵银、夏东、南山富海和珠海拓域分别以现金认缴新增注册资本。,CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,3,59,price,上述增资和股权转让的每股价格约为29.13元。,CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,4,59,decision,发行人于2018年6月12日召开2018年第一次临时股东大会并通过决议。,CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,5,60,participant,李文发、秦国君、李剑峰、周雪峰认缴新增注册资本共计120万元，每股价格1元。,CONFIRMED
