company_code,company_name,package_id,raw_event_family,event_title,pages,rule_predicted_type,rule_basis,suggested_human_type,human_event_type,type_match_after_confirmation,classification_source,classification_confidence,needs_human_confirmation,review_priority,classification_reason,existing_human_review_status,field_gold_created,reviewed_by,reviewed_at,source_excerpt,confirmation_status
001282,三联锻造,001282_equity_snapshot_001,equity_snapshot,招股说明书签署日发行人股权关系图,43,equity_snapshot,event_family:equity_snapshot,equity_snapshot,equity_snapshot,True,"AI-assisted draft based on event_family, title, source_text and existing gold_coverage status",high,False,LOW,event_family:equity_snapshot,REVIEWED_NOT_SELECTED_FOR_FIELD_GOLD,False,lzr,2026-06-19T17:14:52,[PAGE 43][PRIMARY] 三、发行人的股权结构截至本招股说明书签署日，发行人股权结构图如下：,BATCH_CONFIRMED_BY_STUDENT
001282,三联锻造,001282_equity_snapshot_002,equity_snapshot,本次发行前后股本结构,53,equity_snapshot,event_family:equity_snapshot,equity_snapshot,equity_snapshot,True,"AI-assisted draft based on event_family, title, source_text and existing gold_coverage status",high,False,LOW,event_family:equity_snapshot,REVIEWED_NOT_SELECTED_FOR_FIELD_GOLD,False,lzr,2026-06-19T17:15:33,"[PAGE 53][PRIMARY] （一）本次发行前后股本情况本公司发行前总股本8,498万股，本次拟向社会公开发行2,838万股，发行后公司总股本11,336万股，本次公开发行新股占发行后总股本25.04%。本次发行后公司的股权结构如下：序号股东姓名/名称发行前发行后持股数量（万股）持股比例（%）持股数量（万股）持股比例（%）1孙国奉2,287.0026.912,287.0020.172张一衡2,275.0026.772,275.0020.073孙国敏2,275.0026.772,275.0020.074高新同华1,150.0013.531,150.0010.145三联合伙348.004.10348.003.076孙仁豪163.001.92163.001.447本次公开发行新股--2,838.0025.04合计8,498.00100.0011,336.00100.00",BATCH_CONFIRMED_BY_STUDENT
001282,三联锻造,001282_equity_snapshot_003,equity_snapshot,本次发行前完整股东结构,53|54,equity_snapshot,event_family:equity_snapshot,equity_snapshot,equity_snapshot,True,"AI-assisted draft based on event_family, title, source_text and existing gold_coverage status",high,False,LOW,event_family:equity_snapshot,REVIEWED_NOT_SELECTED_FOR_FIELD_GOLD,False,lzr,2026-06-19T17:15:40,"[PAGE 53][PRIMARY] （二）前十名股东本次发行前，公司共有6名股东，其中4名自然人股东，2名机构股东，其持股情况如下：序号股东名称持股数量（万股）持股比例（%）1孙国奉2,287.0026.91 [PAGE 54][PRIMARY] 芜湖三联锻造股份有限公司招股说明书53序号股东名称持股数量（万股）持股比例（%）2张一衡2,275.0026.773孙国敏2,275.0026.774高新同华1,150.0013.535三联合伙348.004.106孙仁豪163.001.92合计8,498.00100.00",BATCH_CONFIRMED_BY_STUDENT
001282,三联锻造,001282_establishment_001,establishment,有限公司设立及初始出资,30|31|32,establishment_contribution,event_family:establishment,establishment_contribution,establishment_contribution,True,"AI-assisted draft based on event_family, title, source_text and existing gold_coverage status",high,False,LOW,event_family:establishment,REVIEWED_NOT_SELECTED_FOR_FIELD_GOLD,False,lzr,2026-06-19T17:16:01,[PAGE 30][PRIMARY] （一）有限公司设立情况1、有限公司设立程序2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，约定三联有限的注册资本500万元，由孙国奉以机器设备出资175万元，占注册资本35%；孙国敏以货币和机器设备出资162.5万元，占注册资本32.5%；张松满以货币和机器设备出资162.5万元，占注册资本32.5%。2、设立时股东出资的验资情况2004年6月10日，安徽平泰会计师事务所出具编号为平泰会验字【2004】第395号《验资报告》，验证截至2004年6月10日，三联有限已收到全体股东缴纳的注册资本合计500万元，其中股东孙国奉以实物（机器设备）出资175万 [PAGE 31][PRIMARY] 芜湖三联锻造股份有限公司招股说明书30元；股东孙国敏以货币出资52.5万元，以实物（机器设备）出资100万元，以代三联有限支付的土地款形成的债权出资10万元，共计162.5万元；股东张松满以货币出资57.5万元，以实物（机器设备）出资105万元，共计162.5万元。2004年6月18日，三联有限设立经芜湖市工商行政管理局核准，并取得注册号为3402012102584的《营业执照》。三联有限设立时出资结构如下：股东名称注册资本（万元）出资比例（%）出资方式出资状态孙国奉175.0035.00实物（机器设备）实缴出资孙国敏52.5032.50货币实缴出资100.00实物（机器设备）10.00债权（代付土地款）张松满57.5032.50货币实缴出资105.00实物（机器设备）合计500.00100.00//注：张松满系孙国奉之,BATCH_CONFIRMED_BY_STUDENT
001282,三联锻造,001282_historical_overview_001,historical_overview,设立以来股本演变概图,34|35,historical_context,title_or_family:历史背景,historical_context,historical_context,True,AI-assisted draft; event type confirmed by student,medium,True,MEDIUM,title_or_family:历史背景；股本演变概图是历史脉络，不是单一交易事件,REVIEWED_NOT_SELECTED_FOR_FIELD_GOLD,False,lzr,2026-06-19T17:16:15,[PAGE 34][PRIMARY] （三）报告期内的股本和股东变化情况1、三联锻造设立以来股本演变情况概图（转下图） [PAGE 35][PRIMARY] 芜湖三联锻造股份有限公司招股说明书34（续上图）,USER_CONFIRMED
001282,三联锻造,001282_overall_conversion_001,overall_conversion,整体变更设立股份有限公司,32|33,overall_conversion,title_keyword:整体变更/整体改制,overall_conversion,overall_conversion,True,"AI-assisted draft based on event_family, title, source_text and existing gold_coverage status",high,False,LOW,title_keyword:整体变更/整体改制,REVIEWED_NOT_SELECTED_FOR_FIELD_GOLD,False,lzr,2026-06-19T17:16:33,"[PAGE 32][PRIMARY] （二）股份公司设立情况1、发行人设立的程序2018年10月11日，三联有限召开股东会并作出决议，全体股东一致同意三联有限整体变更设立股份有限公司。根据华普天健会计师事务所（特殊普通合伙）出具编号为会审字【2018】5737号《审计报告》，截至2018年7月31日，三联有限经审计的净资产总计为308,886,389.01元，按照1：0.2639的比例折股，折合为股份有限公司的股份总数为81,500,000股，每股面值1元，共计81,500,000.00元，其余227,386,389.01元计入资本公积。根据中水致远资产评估有限公司出具的中水致远评报字【2018】第020281号《芜湖三联锻造有限公司拟整体变更设立股份有限公司项目资产评估报告》，截至2018年7月31日，公司净资产评估价值为37,526.27万元。2018年10月11日，孙国奉、张一衡、孙国敏、孙仁豪、高新同华等5名股东作为发起人签署了《发起人协议》，一致同意由三联有限整体变更设立股份公司，股份公司的注册资本为8,150万元。2018年10月27日，公司召开创立大会暨第一次临时股东大会并作出决议，全体股东（发起人）一致同意通过关于整体变更为股份公司的相关议案。 [PAGE 33][PRIMARY] 芜湖三联锻造股份有限公司招股说明书322018年10月27日，华普天健会计师事务所（特殊普通合伙）对公司的出资情况进行了审验，并出具会验字【2018】6175号《验资报告》，验证截至2018年10月27日，公司已收到全体股东以净资产折股的方式缴纳的注册资本8,150万元。2018年1",BATCH_CONFIRMED_BY_STUDENT
001282,三联锻造,001282_subscription_flow_001,subscription_flow,2019年12月第一次增资,35|36|37|38,capital_increase,event_family:subscription_flow,capital_increase,capital_increase,True,"AI-assisted draft based on event_family, title, source_text and existing gold_coverage status",high,False,LOW,event_family:subscription_flow；已有字段级Gold支持,GOLD_CREATED,True,lzr,,"[PAGE 35][PRIMARY] 2019年12月，股份有限公司第一次增资 [PAGE 36][PRIMARY] 芜湖三联锻造股份有限公司招股说明书35（1）增资情况2019年12月4日，公司召开2019年第二次临时股东大会，审议通过了《关于公司增资扩股的议案》，议案决定拟将公司的注册资本由8,150万元增加至8,498万元。新增注册资本由新股东三联合伙以每股4.50元的价格认购，其中348万元计入注册资本，剩余1,218万元计入资本公积。本次增资时三联合伙合伙人的岗位及合伙份额情况如下：序号姓名合伙人类型岗位认缴出资额（万元）出资比例（%）出资方式出资期限1孙国奉普通合伙人三联锻造董事长、总经理382.5024.43货币2019.12.31之前2韩良有限合伙人三联锻造董事、副总经理360.0022.99货币2019.12.31之前3孟江峰有限合伙人三联锻造副总经理135.008.62货币2019.12.31之前4杨成有限合伙人三联锻造财务总监、董事会秘书54.003.45货币2019.12.31之前5谭辉有限合伙人鑫联精工总经理45.002.87货币2019.12.31之前6刘云祥有限合伙人湖州三连副总经理45.002.87货币2019.12.31之前7洪贤来有限合伙人三联锻造机加技术总监45.002.87货币2019.12.31之前8王芳琴有限合伙人三联锻造采购部总监45.002.87货币2019.12.31之前9孙秀娟有限合伙人三联锻造监事会主席、销售部总监27.001.72货币2019.12.31之前10朱兵兵有限合伙人三联锻造销售部总监22.501.44货币201",BATCH_CONFIRMED_BY_STUDENT
301563,云汉芯城,301563_equity_snapshot_001,equity_snapshot,招股说明书签署日发行人股权关系图,72|73,equity_snapshot,event_family:equity_snapshot,equity_snapshot,equity_snapshot,True,AI-assisted draft; event type confirmed by student,medium,True,MEDIUM,event_family:equity_snapshot；首轮人工审阅已标记需进一步核对,REVIEWED_NEEDS_FURTHER_WORK,False,lzr,2026-06-19T17:16:49,[PAGE 72][PRIMARY] 五、发行人的组织结构（一）公司的股权结构图截至2025年3月25日，公司股权结构如下图： [PAGE 73][PRIMARY] 云汉芯城（上海）互联网科技股份有限公司招股说明书72,USER_CONFIRMED
301563,云汉芯城,301563_equity_snapshot_002,equity_snapshot,本次发行前后股本结构,91|92|93,equity_snapshot,event_family:equity_snapshot,equity_snapshot,equity_snapshot,True,"AI-assisted draft based on event_family, title, source_text and existing gold_coverage status",high,False,LOW,event_family:equity_snapshot,REVIEWED_NOT_SELECTED_FOR_FIELD_GOLD,False,lzr,2026-06-19T17:16:57,"[PAGE 91][PRIMARY] （一）本次发行前后的股本情况发行人本次发行前总股本为48,837,074股，本次拟公开发行新股为16,279,025股，占发行后总股本的比例为25.00%。发行前后股东持股情况如下：序号股东姓名/名称发行前发行后 [PAGE 92][PRIMARY] 云汉芯城（上海）互联网科技股份有限公司招股说明书91持股数（股）持股比例（%）持股数（股）持股比例（%）1曾烨16,132,25533.0316,132,25524.772刘云锋6,454,82013.226,454,8209.913力源信息5,004,00010.255,004,0007.684芜湖富海2,835,3205.812,835,3204.355国科瑞华2,544,7875.212,544,7873.916东方富海2,502,0005.122,502,0003.847火炬电子1,130,4882.311,130,4881.748为赛咨询1,053,3602.161,053,3601.629南山富海1,030,0002.111,030,0001.5810厦门西堤968,9901.98968,9901.4911深创投933,3201.91933,3201.4312鸿迪投资849,0831.74849,0831.3013天健创投666,6801.37666,6801.0214CASREVFUND618,0001.27618,0000.9515周雪峰600,0001.23600,0000.9216李文发550,0001.13550,0000.8417中科贵银543,8401.11543,8",BATCH_CONFIRMED_BY_STUDENT
301563,云汉芯城,301563_establishment_001,establishment,有限公司设立及初始出资,55|56,establishment_contribution,event_family:establishment,establishment_contribution,establishment_contribution,True,"AI-assisted draft based on event_family, title, source_text and existing gold_coverage status",high,False,LOW,event_family:establishment,REVIEWED_NOT_SELECTED_FOR_FIELD_GOLD,False,lzr,2026-06-19T17:17:19,[PAGE 55][PRIMARY] （二）云汉有限的设立情况2008年4月17日，深圳市云汉电子有限公司和刘云锋共同申请设立公司前身上海云汉电子有限公司，注册资本为50万元。其中：深圳云汉电子认缴出资25万元，占注册资本的50%；刘云锋认缴出资25万元，占注册资本的50%。本次增资各方均以自有资金出资，资金来源合法合规。2008年5月5日，上海德欣会计师事务所有限公司对上海云汉电子有限公司（筹）截止2008年5月4日的出资情况进行了审验，并出具了沪德欣（2008）验字第5205号《验资报告》，确认50万元出资已于登记之前足额缴纳。2021年10月28日，容诚会计师出具了容诚专字[2021]361Z0475号《验资复核报告》，认为上海德欣事务所出具的德欣（2008）验字第5205号验资报告在所有重大方面符合《中国注册会计师审计准则第1602号——验资》的相关规定。2008年5月7日，上海云汉电子有限公司办理完毕工商登记手续，取得上海市工商行政管理局松江分局下发的注册证号为310227001377671的《企业法人营业执照》。有限公司设立时的出资比例如下： [PAGE 56][PRIMARY] 云汉芯城（上海）互联网科技股份有限公司招股说明书55序号股东名称注册资本（万元）持股比例（%）1深圳市云汉电子有限公司25.0050.002刘云锋25.0050.00合计50.00100.00,BATCH_CONFIRMED_BY_STUDENT
