company_code,company_name,pdf_filename,page_index,pdf_file_page,matched_categories,matched_keywords,issuer_alias_hits,hard_negative_hits,non_target_keywords,rule_or_promise_keywords,strong_event_hits,score,candidate_status,selection_source,parent_hit_page,expansion_reason,section_context,section_context_source,entity_scope,entity_scope_reason,issuer_bound_event,issuer_bound_event_reason,event_evidence_count,non_event_narrative,text_length,snippet
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,3,4,company_establishment|historical_evolution|equity_snapshot,发行人设立|股本演变|股权结构,,公司治理|募集资金运用|风险因素,,,action|target_keyword,-5,drop,direct_hit,,,,,unclear,,no,,1,,2562,..... 27 第四节 发行人基本情况 ......................................................................................... 29 一、发行人基本信息 .......................................................................................... 29 二、发行人设立及报告期内股本演变情况 ...................................................... 29 三、发行人的股权结构 ...................................................................................... 42 四、发行人控股子公司、分公司及参股公司情况 ......................
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,18,19,equity_snapshot,持股数量,,战略配售,,,amount_or_ratio|date|target_keyword,1,drop,direct_hit,,,,,unclear,,no,,2,,857,元； 4、用于本次发行的信息披露费用408.49 万元； 5、发行手续费用及其他费用68.50 万元。 以上发行费用口径均为不含增值税金额，发行手续费用及其他费 用中包含本次发行的印花税，税基为扣除印花税前的募集资金净 额，税率为0.025%。合计数与各分项数值之和尾数存在微小差 异，为四舍五入造成。 高级管理人员、员工拟参 与战略配售情况（如有） 不适用 保荐人相关子公司拟参 与战略配售情况（如有） 不适用 拟公开发售股份股东名 称、持股数量及拟公开发 售股份数量、发行费用的 分摊原则（如有） 不适用 （二）本次发行上市的重要日期 初步询价日期 2023 年5 月5 日
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,29,30,company_establishment|historical_evolution,公司设立|发行人设立|有限公司设立|股本演变|验资报告,三联锻造,,,,action|amount_or_ratio|date|establishment_signature|issuer_alias|issuer_establishment_heading|target_keyword,25,candidate,direct_hit+event_bundle_context,32,bridge_page_continuity|issuer_bound_event|same_section_context|strong_core_signature,issuer_history,发行人设立及报告期内股本演变情况,issuer,explicit_issuer_establishment_heading,yes,issuer_establishment_heading,5,,678,"第四节 发行人基本情况 一、发行人基本信息 中文名称 芜湖三联锻造股份有限公司 英文名称 Wuhu Sanlian Forging Co., Ltd. 注册资本 8,498.00 万元 法定代表人 孙国奉 有限公司成立时间 2004 年6 月18 日 股份公司成立时间 2018 年11 月26 日 公司住所 芜湖市高新技术产业开发区天井山路20 号 邮政编码 241003 联系电话 0553-5650331 传真号码 0553-5650331 公司网址 https://www.wuhusanl"
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,30,31,company_establishment|equity_snapshot,出资比例|股东名称|验资报告,,,,,action|amount_or_ratio|date|target_keyword,4,review,direct_hit+event_bundle_context,32,bridge_page_continuity|same_section_context|table_like,issuer_history,发行人设立及报告期内股本演变情况,other_entity,named_event_subject:三联有限,no,,3,,851,元；股东孙国敏以货币出资52.5 万元，以实物（机器设备）出资100 万元，以 代三联有限支付的土地款形成的债权出资10 万元，共计162.5 万元；股东张松 满以货币出资57.5 万元，以实物（机器设备）出资105 万元，共计162.5 万元。 2004 年6 月18 日，三联有限设立经芜湖市工商行政管理局核准，并取得注 册号为3402012102584 的《营业执照》。 三联有限设立时出资结构如下： 股东名称 注册资本（万元） 出资比例（%） 出资方式 出资状态 孙国奉 175.00 35.00 实物（机器设备） 实缴出资 孙国敏 52.50 32.50 货币 实缴出资 100.00 实物（机器设备） 10.00 债权（代付土地款） 张松满 57.50 32.50 货币 实缴出资 105.00 实物（机器设备） 合计 500.00 100.00 / / 注：张松满系孙国奉之妹孙娟丽的配偶。 3、货币资金置换实物出资的情况 2006 
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,31,32,company_establishment|equity_snapshot|overall_conversion,公司设立|出资比例|发行人设立|整体变更|股东名称|股份公司设立,三联锻造,行政处罚,,,action|amount_or_ratio|conversion_signature|date|establishment_signature|issuer_alias|issuer_establishment_heading|snapshot_signature|target_keyword,21,candidate,direct_hit+event_bundle_context,33,event_heading|issuer_bound_event|same_section_context|starts_with_table_row|strong_core_signature|table_like,issuer_history,发行人设立及报告期内股本演变情况,issuer,explicit_issuer_establishment_heading,yes,issuer_establishment_heading,5,,898,股东名称 注册资本（万元） 出资比例（%） 出资方式 出资状态 孙国敏 152.50 32.50 货币 实缴出资 10.00 债权（代付土地款） 张松满 162.50 32.50 货币 实缴出资 合计 500.00 100.00 / / 2021 年5 月8 日，芜湖市市场监督管理局针对上述货币资金置换出具了《情 况说明》，确认上述设备出资未经评估的瑕疵情形已主动消除且已超出行政处罚 法规定的行政处罚期限。 2021 年5 月20 日，
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,32,33,company_establishment|overall_conversion,净资产折股|整体变更|验资报告,三联锻造,,,,action|amount_or_ratio|conversion_signature|date|establishment_signature|issuer_alias|target_keyword,22,candidate,direct_hit+event_bundle_context,32,bridge_page_continuity|event_heading|issuer_bound_event|same_section_context|strong_core_signature,issuer_history,发行人设立及报告期内股本演变情况,issuer,issuer_bound_event_clause,yes,strong_issuer_capital_pattern,5,,881,"2018 年10 月27 日，华普天健会计师事务所（特殊普通合伙）对公司的出 资情况进行了审验，并出具会验字【2018】6175 号《验资报告》，验证截至2018 年10 月27 日，公司已收到全体股东以净资产折股的方式缴纳的注册资本8,150 万元。 2018 年11 月26 日，三联有限整体变更为股份有限公司经芜湖市工商行政 管理局核准，并取得统一社会信用代码为91340200762794150A 的《营业执照》。 2、发行人对股份改制折股净资产的调整与复核 2021 年5 月15 日，容诚会计师出具容诚专字【2021】241Z0034 号《芜湖三 联锻造股份有限"
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,33,34,historical_evolution,股东变化|股本演变,三联锻造,,,,action|issuer_alias|target_keyword,11,review,direct_hit+event_bundle_context,32,bridge_page_continuity|event_heading|same_section_context|转下图,issuer_history,报告期内的股本和股东变化情况,unclear,,no,,1,,42,（三）报告期内的股本和股东变化情况 1、三联锻造设立以来股本演变情况概图 （转下图）
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,34,35,company_establishment|historical_evolution|share_transfer_flow|overall_conversion,公司设立|整体变更|股东变化|股本演变|股权转让,,董事、监事、高级管理人员,,,action|date|target_keyword,-2,review,direct_hit+event_bundle_context,36,bridge_page_continuity|event_heading|same_section_context|情况如下|续上图,issuer_history,设立以来股本演变情况,other_entity,named_event_subject:发行人报告期内的,no,,2,,187,（续上图） 2、发行人报告期内的股本演变情况 三联有限自设立至报告期期初（2019 年初）进行了四次股权转让和四次增 资，并于2018 年11 月整体变更为股份公司，具体情况请参见申报文件“4-3 发 行人关于公司设立以来股本演变情况的说明及其董事、监事、高级管理人员的确 认意见”。 报告期内，发行人的股本和股东变化情况如下： 2019 年12 月，股份有限公司第一次增资
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,35,36,subscription_flow|equity_snapshot,出资比例|增资扩股|新增注册资本,三联锻造,合伙份额,认缴出资额,,action|amount_or_ratio|date|issuer_alias|subscription_signature|target_keyword,17,candidate,direct_hit+event_bundle_context,38,bridge_page_continuity|event_heading|issuer_bound_event|same_section_context|strong_core_signature|table_header_without_total|table_like|情况如下,issuer_history,设立以来股本演变情况,issuer,issuer_bound_event_clause,yes,strong_issuer_capital_pattern,5,,995,"（1）增资情况 2019 年12 月4 日，公司召开2019 年第二次临时股东大会，审议通过了《关 于公司增资扩股的议案》，议案决定拟将公司的注册资本由8,150 万元增加至 8,498 万元。新增注册资本由新股东三联合伙以每股4.50 元的价格认购，其中348 万元计入注册资本，剩余1,218 万元计入资本公积。 本次增资时三联合伙合伙人的岗位及合伙份额情况如下： 序号 姓名 合伙人类型 岗位 认缴出资额 （万元） 出资比例 （%） 出资方式 出资期限 孙国奉 普通合伙人 三联锻造董 事长、总经理 382.50 24.43 货币 2019"
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,36,37,equity_snapshot,出资比例,三联锻造,,认缴出资额,,action|issuer_alias|target_keyword,0,review,direct_hit+event_bundle_context,38,bridge_page_continuity|same_section_context|starts_with_table_row|table_header_without_total|table_like,issuer_history,设立以来股本演变情况,platform_internal,合伙人|有限合伙人|认缴出资额,no,,1,,998,序号 姓名 合伙人类型 岗位 认缴出资额 （万元） 出资比例 （%） 出资方式 出资期限 揭谦福 有限合伙人 三联锻造锻 造工艺质量 部部长 13.50 0.86 货币 2019.12.31 之前 张猛 有限合伙人 芜湖万联质 保部部长 13.50 0.86 货币 2019.12.31 之前 刘青 有限合伙人 三联锻造工 模部部长 13.50 0.86 货币 2019.12.31 之前 李联刚 有限合伙人 三联锻造锻 造生产部部 长 13.50 0.86 货币 2019.12.31 之前
