aggregation_level,company_code,company_name,gold_file,gold_status,metric_source_file,gold_packages,auto_packages,TP,FP,FN,precision,recall,f1,type_accuracy,primary_boundary_accuracy,supporting_pages_accuracy,full_page_set_accuracy,evaluation_note
company,001282,三联锻造,001282_event_package_gold_v1_1.csv,CONFIRMED_FILE,001282_candidate_package_metrics_v1_1.csv,7,7,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,候选包Gold与自动候选包逐包比较。
company,301563,云汉芯城,301563_event_package_gold.csv,CONFIRMED_FILE,301563_candidate_package_metrics_v1_6.csv,12,12,12,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,候选包Gold与自动候选包逐包比较。
company,301581,黄山谷捷,301581_event_package_gold.csv,CONFIRMED_FILE,301581_candidate_package_metrics_v1_5.csv,9,9,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,候选包Gold与自动候选包逐包比较。
company,603418,友升股份,603418_event_package_gold.csv,CONFIRMED_FILE,603418_candidate_package_metrics_v1_1.csv,8,8,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,候选包Gold与自动候选包逐包比较。
company,688758,赛分科技,688758_event_package_gold_draft.csv,DRAFT,688758_candidate_package_metrics_v1_2.csv,13,13,13,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,候选包Gold与自动候选包逐包比较。688758的Gold文件名仍含draft，提交前应确认并改名或在README说明。
company,688775,影石创新,688775_event_package_gold.csv,CONFIRMED_FILE,688775_candidate_package_metrics_v1_7.csv,5,5,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,候选包Gold与自动候选包逐包比较。
company,920100,三协电机,920100_event_package_gold.csv,CONFIRMED_FILE,920100_candidate_package_metrics_v1_3_1.csv,9,9,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,候选包Gold与自动候选包逐包比较。
company,920116,星图测控,920116_event_package_gold.csv,CONFIRMED_FILE,920116_candidate_package_metrics_v1_4.csv,8,8,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,候选包Gold与自动候选包逐包比较。
micro_overall,ALL,8家公司合计,001282_event_package_gold_v1_1.csv|301563_event_package_gold.csv|301581_event_package_gold.csv|603418_event_package_gold.csv|688758_event_package_gold_draft.csv|688775_event_package_gold.csv|920100_event_package_gold.csv|920116_event_package_gold.csv,MIXED_ONE_DRAFT,001282_candidate_package_metrics_v1_1.csv|301563_candidate_package_metrics_v1_6.csv|301581_candidate_package_metrics_v1_5.csv|603418_candidate_package_metrics_v1_1.csv|688758_candidate_package_metrics_v1_2.csv|688775_candidate_package_metrics_v1_7.csv|920100_candidate_package_metrics_v1_3_1.csv|920116_candidate_package_metrics_v1_4.csv,71,71,71,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8家公司、71个事件包的微平均汇总。该结果来自当前8家公司上建立并迭代的Gold，属于开发/回归评估，不应称为独立盲测。
macro_overall,ALL,8家公司宏平均,,SEE_COMPANY_ROWS,,71,71,71,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8家公司指标的等权宏平均。所有公司当前候选包比较均为完全匹配。
